Year/Month,總計,桃園國際機場,高雄國際機場,臺北松山機場,花蓮機場,臺東機場,澎湖機場,臺中機場,臺南機場,嘉義機場,七美機場,望安機場,蘭嶼機場,綠島機場,金門機場,北竿機場,屏東機場,南竿機場,恆春機場
2016/09,4954721,3327507,481380,477851,12524,20445,190969,193344,31023,5434,1121,91,2773,1439,177399,6665,0,24756,0
2016/10,5206173,3507492,507474,509211,14981,24929,169127,190307,32666,6390,1324,106,3034,1946,205970,6821,0,24395,0
2016/11,4964710,3427719,476585,468835,12972,23168,140769,165293,29540,5825,1145,89,2578,1517,184572,5149,0,18954,0
2016/12,5194744,3690208,492533,444791,14890,23814,120951,168060,31533,5709,1183,69,2062,1743,178081,3850,0,15267,0
2017/01,5221307,3671281,485597,451620,16854,24635,141197,172188,32363,6414,1706,147,3065,2239,191194,4583,0,16224,0
2017/02,4960724,3478811,484699,413600,17150,22009,130222,167310,34264,6406,1249,83,2984,2016,179517,5339,0,15065,0
2017/03,5206595,3635748,517878,445827,18662,27250,147062,172763,32583,6150,1658,132,5079,2273,171761,4972,0,16797,0
2017/04,5612136,3794787,568704,489584,21707,27597,220790,213536,38274,6802,1756,149,5230,2113,191182,8786,0,21139,0
2017/05,5727541,3713535,571084,559226,22403,29087,293486,225375,40661,7572,1823,205,5591,2372,207973,10963,0,36185,0
2017/06,5627369,3711722,565636,534285,20926,26916,267121,216403,39353,7152,1563,145,5352,1789,200548,6683,0,21775,0
2017/07,5974702,3912501,592222,572021,20299,32333,275265,238439,42857,7875,2059,188,6789,2059,221945,10984,0,36866,0
2017/08,5995261,3960860,599340,564745,22498,32439,260038,230143,43148,8222,2111,199,5844,2337,219853,10228,0,33256,0
2017/09,5006248,3413314,482840,455048,17279,27933,177421,184360,33537,5747,1661,137,6222,2267,166573,7012,0,24897,0
2017/10,5695559,3880269,554034,516467,19837,25412,188561,201932,39806,7092,1537,98,2640,1612,221671,8125,0,26466,0
2017/11,5398765,3776803,524560,474593,17604,24139,140711,178257,34121,5975,1222,118,2225,1929,186079,6952,0,23477,0
2017/12,5552486,3929072,532589,466137,20167,23121,138391,193942,35836,5935,1058,65,1394,1729,178517,5449,0,19084,0
2018/01,5177516,3711166,486555,427837,17531,20032,121269,169387,33351,5908,1046,68,1425,1809,161058,3659,0,15415,0
2018/02,5381622,3743864,544788,451754,15387,21813,150718,183897,36665,6651,1915,88,2053,1810,198146,5856,0,16217,0
2018/03,5658651,3971192,576403,461952,16012,26535,161700,197921,35408,6352,1647,122,4170,2541,172408,6103,0,18185,0
2018/04,5897375,3938593,612088,532087,18917,29008,245613,222276,41191,7018,1711,147,5824,2277,208135,9149,0,23341,0
2018/05,5803492,3746487,600299,569103,19519,30829,292613,237897,42367,7333,1778,164,6685,2542,202557,10395,0,32924,0
2018/06,5958724,3863724,611698,579674,20261,28015,289844,247374,42862,7220,1392,102,4533,2142,212384,10122,0,37377,0
2018/07,6298182,4064503,660225,610565,16032,31206,295008,268484,47465,8394,2146,150,5189,2127,240864,10246,0,35578,0
2018/08,6288716,4132643,650999,596852,17845,33729,270493,254504,43998,7892,1614,166,6148,2382,229082,8753,0,31616,0
2018/09,5374171,3576099,520511,514664,13985,26846,219234,220042,37532,6609,1717,118,5296,2188,195375,7733,0,26222,0
2018/10,5761770,3890108,576823,524470,15345,27045,195676,223413,40407,7127,1792,152,3654,1951,218961,8630,0,26216,0
2018/11,5563802,3855448,558564,486709,10139,26788,146135,200438,36927,6367,1845,164,3048,2388,199599,6610,0,22633,0
2018/12,5740110,4041353,574892,470265,11927,25261,140517,213141,37671,6161,1120,83,1592,1714,191259,4947,0,18207,0
2019/01,5677696,4035617,566960,451915,9069,23921,144863,196763,36234,6263,837,54,2428,2219,179129,4764,0,16660,0
2019/02,5587160,3842299,587242,458726,8811,24116,171402,208621,37388,6830,1825,61,3724,2526,212180,4456,0,16953,0
2019/03,6002202,4186032,624828,492431,8715,27654,173936,222194,35955,6891,1200,95,3236,2740,190672,5010,0,20613,0
2019/04,6184146,4158588,653262,545268,8828,30987,255482,232238,41847,7295,1629,181,6563,2637,208039,6818,0,24484,0
2019/05,6258055,4068536,652565,605622,8582,29606,315666,256218,42007,7196,1491,120,4900,2677,218179,11475,0,33215,0
2019/06,6244024,4033378,656853,607120,8630,31011,326637,255501,42403,7554,1710,149,5893,2506,231112,7770,0,25797,0
2019/07,6485161,4212655,688484,614232,10200,31641,305600,266959,46546,8528,1751,211,4707,2134,249752,10635,0,31126,0
2019/08,6388976,4312472,668147,563401,9755,29408,249068,252228,41390,7360,1635,152,4799,2504,209410,8430,0,28817,0
