Year/Month,總計,桃園國際機場,高雄國際機場,臺北松山機場,花蓮機場,臺東機場,澎湖機場,臺中機場,臺南機場,嘉義機場,七美機場,望安機場,蘭嶼機場,綠島機場,金門機場,北竿機場,屏東機場,南竿機場,恆春機場
2003/11,3434267,1497536,598830,705838,94954,54392,111376,78512,118189,31064,1985,152,2116,2659,106582,4714,8684,16684,0
2003/12,3449989,1490255,603698,722308,91285,58183,104731,83125,128673,33249,1856,99,2545,3258,97326,4400,9351,15647,0
2004/01,3800031,1675792,651111,763325,96284,70032,144337,85200,121866,32082,2343,276,3812,2939,123315,5498,12508,7281,2030
2004/02,3096179,1366682,544590,628822,79028,52310,100905,71081,105951,27301,1800,129,3174,2140,83781,5823,8495,13005,1162
2004/03,3425577,1547398,597476,672828,79872,53500,112749,66465,124187,32857,1288,154,3243,2616,100122,5292,9601,14478,1451
2004/04,3618238,1607616,638690,699956,85159,58711,150787,67299,121942,32228,1544,171,4413,2583,116450,4794,9442,14736,1717
2004/05,3671382,1583189,631604,734175,84142,61288,183284,73227,123175,33252,1590,149,5193,2432,120687,6117,9756,15722,2400
2004/06,3878516,1781733,643991,720836,79481,59324,207714,71831,119594,33576,1552,159,4786,2120,116297,5709,8816,18128,2869
2004/07,4261784,1962381,715531,763117,78141,64820,242843,82055,118680,34043,2094,197,5205,1916,152305,6278,8173,21455,2550
2004/08,4106834,1905347,693997,719500,85636,69471,224192,78328,112723,31803,1962,182,5775,1987,137662,6579,9308,19269,3113
2004/09,3560250,1662239,606026,656255,80767,52571,146944,61206,111803,30051,1579,129,3898,1851,110257,5734,7923,18613,2404
2004/10,3690996,1731112,641274,670521,87193,54922,124161,60541,117350,31139,1988,180,2537,2672,127034,5963,8901,22163,1345
2004/11,3511820,1617790,608934,665548,90939,52455,104084,56347,122016,31433,1844,193,2844,2632,119550,6035,8461,19716,999
2004/12,3494903,1642276,613416,654849,82114,48988,99259,51432,119887,30394,1705,121,2066,2794,110725,5156,9134,19285,1302
2005/01,3328457,1577461,589501,614938,80343,46932,93300,48150,113481,28342,1477,54,2738,2382,99731,4503,8114,15775,1235
2005/02,3648431,1745933,635721,634870,81852,56408,134987,53840,106131,28036,1600,57,2958,2237,133168,5176,11507,12908,1042
2005/03,3489986,1694518,611151,619389,78257,46990,104558,48701,119042,29637,1324,117,3211,2331,104349,4863,7993,12899,656
2005/04,3745538,1791378,640663,655955,83030,54045,151394,59002,118558,33077,1619,166,4411,2073,118910,5907,9598,14242,1510
2005/05,3854338,1813286,647584,687254,79960,55261,187889,65302,119262,32179,1588,128,4577,2092,128559,6270,8679,12145,2323
2005/06,3853766,1888926,618470,671265,75478,53247,190885,63997,101924,28651,1317,75,4675,1944,123341,6657,5763,15628,1523
2005/07,4372136,2120531,707833,717639,79319,59396,258499,79268,110577,32565,2080,220,5520,2054,158789,6732,7187,21268,2659
2005/08,4033046,2030108,655481,647696,75127,52268,197967,70365,105161,27616,1880,155,5154,2168,127502,6523,7028,18901,1946
2005/09,3574200,1782914,577773,600179,66781,44276,158656,58090,104975,26283,1644,183,3879,2076,117559,6070,5050,16588,1224
2005/10,3667603,1883088,588148,600549,71532,45947,122679,53382,109435,27215,2082,186,3830,2642,124803,4932,6918,19293,942
2005/11,3323885,1674268,541047,567605,76379,42333,99041,47273,110869,27350,1736,128,3573,2596,105101,4426,5151,13972,1037
2005/12,3376384,1698291,560845,579239,67250,41587,100859,44986,114627,27141,2508,153,2987,2642,106177,4283,5439,16885,485
2006/01,3504523,1786790,592285,582346,68853,43497,111863,45495,106486,26157,1829,165,2628,2371,112360,3526,7086,10088,698
2006/02,3425129,1805177,573942,515716,63476,40578,109663,48197,95804,23776,2092,139,3463,2507,116353,4100,6225,13399,522
2006/03,3488728,1813602,589164,554521,65984,38394,105417,43833,113416,27006,1997,181,3777,2479,107174,3583,5151,12283,766
2006/04,3649409,1908901,601520,556043,59992,41294,154246,53430,102879,26668,1727,208,5297,2125,114831,3531,5390,10510,817
2006/05,3609305,1861050,581387,568900,58644,41481,169602,54167,105010,26362,1613,219,5258,2115,109898,6104,5206,11480,809
2006/06,3748392,1941639,592608,589121,55958,41910,189424,64377,104193,26318,1838,208,5927,1897,111446,4914,4603,11029,982
2006/07,4166494,2184838,657573,600834,52967,42627,246481,80220,94513,26710,2008,196,5411,1763,142578,5482,4753,15658,1882
2006/08,4016170,2097475,648509,597662,56933,45548,196642,75378,100819,27119,1907,240,6303,2081,130281,5377,4601,16610,2685
2006/09,3453988,1815528,554677,525999,49927,34669,142512,61619,96370,24106,1770,230,4606,1883,114758,5067,3863,15697,707
2006/10,3798883,1997746,607025,580776,59928,41902,134325,63242,105586,26788,2077,240,4656,2606,141202,5284,5014,19861,625
2006/11,3406918,1804917,562936,523423,58403,35348,91553,51591,101118,25307,1841,195,3393,2558,119410,5005,4499,14999,422
2006/12,3457145,1839782,568695,533368,53515,37384,97807,51829,104489,25263,1962,201,2821,2844,114862,3067,5216,13955,85
2007/01,3114293,1715980,504209,446799,49640,31796,84094,44889,89062,21601,1599,178,2855,2546,99889,2996,3901,12105,154
2007/02,3492245,1967666,529151,448613,51076,42150,125066,58817,72257,19643,2195,219,4525,2665,145880,4125,5782,11966,449
2007/03,3230997,1919660,488735,377049,52679,35755,99429,47994,70649,15063,1674,209,3943,2672,97919,2533,3598,11158,278
2007/04,3439481,1995447,518852,390441,48129,40624,146091,58970,69189,17111,1722,204,5185,2206,127229,2726,4085,10730,540
2007/05,3349682,1931839,487598,392276,47913,40276,165235,61451,64303,14980,1621,240,5636,2344,116113,2987,3358,10997,515
2007/06,3451034,2042762,478408,379104,43402,41949,183465,67385,53047,11492,1540,196,6323,2284,121746,3170,2452,11670,639
2007/07,3824702,2143908,538783,440135,48930,49029,249863,93440,58153,15141,2441,281,7300,2354,153162,5686,3425,11860,811
2007/08,3460050,2122633,467232,332168,41344,37258,181750,77575,38621,9862,1240,190,4664,1782,120673,4582,2166,15696,614
2007/09,3217097,1937350,429282,331221,42676,38121,162983,70660,41197,8691,1824,175,4830,2141,121539,4338,2357,16541,1171
